,Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(km/l),Engine(CC),Power(bhp),Seats,New_Price(Lakh),Brand
40,Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,,Maruti
41,Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,,Tata
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6.0,,Mahindra
43,Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,,Hyundai
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,23.64,Hyundai
45,Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,,Toyota
46,Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,,Hyundai
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,18.64,Toyota
48,Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4,1120,71.0,5.0,,Hyundai
49,Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55,2498,105.0,6.0,,Mahindra
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,,Audi
51,Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9,1248,74.0,5.0,,Maruti
52,Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8,1248,75.0,5.0,,Maruti
53,Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4,1248,74.0,5.0,,Maruti
54,Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9,1197,82.0,5.0,,Hyundai
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,,Volkswagen
56,Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,,Renault
57,Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,,Hyundai
58,Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,,Nissan
59,Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,,Maruti
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,19.34,Toyota
61,Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,,Ford
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74,1796,186.0,5.0,,Mercedes-Benz
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8,2148,170.0,5.0,,Mercedes-Benz
64,Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0,1396,69.0,5.0,,Tata
65,Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55,1968,140.0,5.0,,Audi
66,Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4,1497,78.0,5.0,,Honda
68,Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,,Maruti
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,11.81,Hyundai
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5,4806,500.0,5.0,,Porsche
71,Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1,2179,140.0,7.0,,Mahindra
72,Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,,Hyundai
73,Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,16.65,Nissan
74,Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,,Honda
75,Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,,Audi
77,Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4,1998,132.0,8.0,,Toyota
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8,2494,102.0,7.0,,Toyota
80,Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9,1248,74.0,5.0,,Maruti
81,Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,6.67,Tata
82,Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,,Honda
83,Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0,1399,68.0,5.0,,Ford
84,Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,,Maruti
85,Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,,Honda
86,BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73,1995,218.0,5.0,,BMW
87,Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,,Hyundai
88,Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9,1197,82.0,5.0,,Hyundai
90,Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,,Honda
91,Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,,Toyota
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,,Audi
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,,Ford
94,Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1,2179,140.0,7.0,,Mahindra
95,Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,,Volkswagen
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2,1493,110.0,5.0,,Hyundai
98,Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,,Maruti
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,,Volkswagen
100,Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0,1396,90.0,5.0,,Hyundai
101,Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,,Hyundai
102,Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83,1198,67.0,7.0,6.45,Datsun
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,,Audi
104,Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0,1197,80.0,5.0,,Hyundai
105,Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0,796,35.0,5.0,,Maruti
106,Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,6.41,Toyota
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,,Jaguar
108,Mahindra XUV500 W8 2WD,Delhi,8814.52,2012,65000,Diesel,Manual,Second,16.0,2179,140.0,7.0,,Mahindra
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,8048.04,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,,Hyundai
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,29509.48,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,27.0,Toyota
111,Maruti Eeco 5 Seater AC,Coimbatore,5993.87,2017,38053,Petrol,Manual,First,15.1,1196,73.0,5.0,5.13,Maruti
112,Tata Nano Twist XT,Bangalore,3295.86,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,,Tata
113,BMW 3 Series 320d Luxury Line,Mumbai,31808.92,2015,56087,Diesel,Automatic,First,22.69,1995,190.0,5.0,54.43,BMW
114,Honda Civic 2006-2010 1.8 V MT,Delhi,5135.42,2010,71088,Petrol,Manual,First,13.5,1799,130.0,5.0,,Honda
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,17031.19,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,,Toyota
116,Volvo V40 Cross Country D3,Bangalore,30659.2,2014,32700,Diesel,Automatic,First,23.3,1984,150.0,5.0,,Volvo
117,Nissan Micra XV CVT,Coimbatore,10040.89,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,9.51,Nissan
118,BMW 5 Series 2010-2013 525i,Mumbai,10730.72,2009,128000,Petrol,Automatic,First,10.8,2497,215.0,5.0,,BMW
119,Maruti Vitara Brezza VDi,Mumbai,11497.2,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,9.96,Maruti
121,Mercedes-Benz B Class B200 CDI,Pune,25677.08,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,,Mercedes-Benz
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,16785.91,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,14.44,Hyundai
123,Maruti Wagon R LXI BS IV,Pune,3755.75,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,,Maruti
124,Tata Nano XTA,Coimbatore,4951.46,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,,Tata
125,Mahindra Scorpio VLX,Kolkata,11880.44,2014,42000,Diesel,Manual,First,12.05,2179,120.0,8.0,,Mahindra
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,14333.18,2009,28352,Petrol,Automatic,First,11.7,1796,178.0,5.0,,Mercedes-Benz
127,Maruti Wagon R LXI CNG,Pune,4982.12,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,,Maruti
128,Honda CR-V 2.4 MT,Bangalore,8048.04,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5.0,,Honda
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,11113.96,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,,Volkswagen
130,Maruti Ciaz VXi Plus,Kochi,11451.21,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,,Maruti
131,Mahindra XUV500 AT W10 FWD,Jaipur,20311.72,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7.0,,Mahindra
132,Maruti Ritz VXI ABS,Coimbatore,8906.5,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5.0,,Maruti
133,Maruti Alto K10 VXI,Hyderabad,3985.7,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,4.53,Maruti
134,Mercedes-Benz SLC 43 AMG,Kolkata,82779.84,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,95.04,Mercedes-Benz
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,17629.04,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,13.49,Hyundai
136,Maruti Alto LXi BSIII,Chennai,2452.74,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,,Maruti
137,BMW 1 Series 118d Base,Coimbatore,26397.57,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5.0,,BMW
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,9197.76,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,,Honda
139,Honda Civic 2006-2010 1.8 V MT,Delhi,6055.19,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5.0,,Honda
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,27516.63,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5.0,,Mercedes-Benz
141,Honda Amaze SX i-DTEC,Kolkata,5671.95,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
142,Maruti Swift VVT VXI,Kochi,8323.97,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5.0,,Maruti
144,Toyota Fortuner 3.0 Diesel,Coimbatore,20679.63,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7.0,,Toyota
145,Chevrolet Beat LT Option,Pune,4368.94,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,,Chevrolet
146,Skoda Rapid 1.5 TDI Elegance,Chennai,7281.56,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,,Skoda
147,Maruti Ciaz 1.4 Alpha,Kochi,15176.3,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,,Maruti
148,Audi RS5 Coupe,Mumbai,56719.52,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4.0,1.28,Audi
149,BMW 3 Series Luxury Line,Mumbai,40623.44,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5.0,60.88,BMW
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,35748.63,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,,Audi
151,Maruti Swift VDI,Chennai,9581.0,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5.0,,Maruti
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,45988.8,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,,Mercedes-Benz
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,15114.99,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,,Skoda
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,13030.16,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,,Skoda
155,Hyundai EON Magna Plus,Kochi,6484.42,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,,Hyundai
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,5365.36,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,,Volkswagen
157,Datsun GO NXT,Kolkata,3832.4,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,,Datsun
158,Honda Brio S MT,Kolkata,3663.77,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,,Honda
159,Mercedes-Benz B Class B180,Delhi,17245.8,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,,Mercedes-Benz
160,Honda City i DTEC V,Kochi,10899.35,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,,Honda
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,16709.26,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,,Toyota
162,Maruti Swift VXI Optional,Ahmedabad,9504.35,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5.0,,Maruti
163,Mahindra XUV500 W8 2WD,Mumbai,12110.38,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7.0,,Mahindra
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,6775.68,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,,Ford
165,Toyota Fortuner 4x2 Manual,Mumbai,20694.96,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,,Toyota
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,9581.0,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,,Volkswagen
167,Ford Figo Diesel Titanium,Jaipur,3219.22,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5.0,,Ford
168,BMW X5 xDrive 30d,Mumbai,68983.2,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5.0,,BMW
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,51599.43,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,,Mercedes-Benz
170,Honda Brio V MT,Bangalore,5595.3,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,,Honda
171,Hyundai i10 Magna 1.2,Delhi,4215.64,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,,Hyundai
172,Mercedes-Benz GLC 220,Bangalore,65150.8,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5.0,,Mercedes-Benz
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,9964.24,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,7.39,Hyundai
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,29126.24,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,,Audi
175,Volkswagen Vento Petrol Highline AT,Mumbai,6821.67,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,,Volkswagen
176,Mini Countryman Cooper D,Jaipur,35258.08,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5.0,,Mini
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,12800.22,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,,Hyundai
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,35181.43,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,,Audi
179,Chevrolet Beat Diesel LT,Jaipur,2299.44,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,,Chevrolet
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,10562.09,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,,Skoda
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2222.79,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5.0,,Ford
182,BMW 5 Series 520d Luxury Line,Hyderabad,51354.16,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5.0,69.47,BMW
183,Chevrolet Optra Magnum 1.6 LS BS3,Jaipur,1916.2,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,,Chevrolet
184,Volkswagen Polo Diesel Highline 1.2L,Hyderabad,6438.43,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,,Volkswagen
185,Renault Lodgy 110PS RxZ 8 Seater,Mumbai,10347.48,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,,Renault
186,Mercedes-Benz E-Class E250 CDI Avantgrade,Bangalore,49054.72,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,,Mercedes-Benz
187,Maruti Baleno Alpha,Kochi,11497.2,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,8.78,Maruti
188,Hyundai Verna 1.6 SX,Delhi,7051.62,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,,Hyundai
189,Hyundai i10 Magna 1.1,Kochi,6193.16,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,,Hyundai
190,Mahindra Scorpio 1.99 S10 4WD,Kochi,15804.82,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7.0,,Mahindra
191,Land Rover Range Rover 2.2L Dynamic,Coimbatore,85477.85,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,,Land
192,Ford Figo Diesel ZXI,Chennai,3985.7,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5.0,,Ford
193,Maruti Ertiga ZDI,Mumbai,13030.16,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7.0,12.74,Maruti
195,Honda Amaze S i-Dtech,Kolkata,5365.36,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
196,Hyundai i10 Magna,Jaipur,5442.01,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,,Hyundai
197,Honda Amaze S i-Dtech,Kolkata,4982.12,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,,Honda
198,Skoda Laura Ambiente,Hyderabad,6898.32,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5.0,,Skoda
199,Renault Duster 85PS Diesel RxL,Delhi,8201.34,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,,Renault
200,Mahindra NuvoSport N6,Chennai,9964.24,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7.0,10.52,Mahindra
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,13796.64,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,11.98,Maruti
202,Hyundai i20 Asta Option 1.2,Kochi,9197.76,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,,Hyundai
203,Skoda Fabia 1.4 MPI Ambiente,Jaipur,4215.64,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5.0,,Skoda
204,Tata Indigo eCS GLX,Pune,2299.44,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,,Tata
